Fasilitas,Tipe,Latitude,Longitude,Dekat,Informasi
Hotel Berkah Atrama,Penginapan,,,Air Panas Semurup,Start from 204.000
Penginapan Dzaky Sungai Penuh,Penginapan,,,Air Panas Semurup,Start from 290.000
Hotel Dheadita,Penginapan,,,Air Panas Semurup,Start from 110.000
Warung Lesehan Rahmat,Restoran,,,Air Panas Semurup,
Seliho Kayo,Restoran,,,Air Panas Semurup,
Waroeng Ayam Pasundan,Restoran,,,Air Panas Semurup,
Kerinci View Homestay,Penginapan,,,Air Terjun Telun Berasap,Start from 250.000
Labora Homestay,Penginapan,,,Air Terjun Telun Berasap,Start from 350.000
Family Resort & Homestay,Penginapan,,,Air Terjun Telun Berasap,Start from 300.000
RM Alam Raya,Restoran,,,Air Terjun Telun Berasap,
Sematangborang Resto,Restoran,,,Air Terjun Telun Berasap,
Rumah Makan Mak Angah,Restoran,,,Air Terjun Telun Berasap,
Swarga Lodge and Homestay,Penginapan,,,Bukit Cinta,Start from 1.500.000
Pelangi Guest Home,Penginapan,,,Bukit Cinta,Start from 500.000
Kerinci View Homestay,Penginapan,,,Bukit Cinta,Start from 250.000
Swarga Cafe,Restoran,,,Bukit Cinta,
Dapoer Ayam Geprek,Restoran,,,Bukit Cinta,
Family Khasta Cafe & Resto,Restoran,,,Bukit Cinta,
